iter	Passed	Remaining
710	2358	30813
711	2361	30810
712	2365	30806
713	2368	30802
714	2371	30799
715	2375	30795
716	2378	30792
717	2381	30789
718	2384	30784
719	2388	30781
720	2391	30777
721	2394	30774
722	2398	30770
723	2401	30767
724	2404	30763
725	2408	30760
726	2411	30755
727	2414	30752
728	2417	30748
729	2421	30744
730	2424	30741
731	2427	30737
732	2430	30734
733	2434	30730
734	2437	30726
735	2440	30722
736	2444	30719
737	2447	30715
738	2450	30711
739	2453	30708
740	2457	30703
741	2460	30700
742	2463	30696
743	2467	30692
744	2470	30688
745	2473	30684
746	2476	30680
747	2480	30676
748	2483	30672
749	2486	30668
750	2489	30664
751	2493	30661
752	2496	30657
753	2499	30653
754	2503	30649
755	2506	30646
756	2509	30642
757	2512	30638
758	2516	30634
759	2519	30630
760	2522	30626
761	2525	30623
762	2529	30619
763	2532	30616
764	2535	30612
765	2539	30609
766	2542	30606
767	2545	30602
768	2549	30599
769	2552	30595
770	2555	30591
771	2558	30587
772	2561	30577
773	2564	30573
774	2568	30570
775	2571	30566
776	2574	30562
777	2577	30557
778	2581	30554
779	2584	30550
780	2587	30546
781	2591	30542
782	2594	30538
783	2597	30534
784	2600	30530
785	2604	30527
786	2606	30516
787	2610	30512
788	2613	30508
789	2616	30505
790	2619	30501
791	2623	30497
792	2626	30493
793	2629	30489
794	2633	30486
795	2636	30482
796	2639	30478
797	2642	30474
798	2646	30471
799	2649	30467
800	2652	30464
801	2655	30460
802	2659	30456
803	2662	30453
804	2665	30449
805	2669	30445
806	2672	30443
807	2675	30440
808	2679	30436
809	2682	30432
810	2685	30428
811	2688	30425
812	2692	30420
813	2695	30417
814	2698	30413
815	2701	30410
816	2705	30405
817	2708	30403
818	2711	30400
819	2715	30396
820	2718	30393
821	2721	30389
822	2724	30385
823	2728	30381
824	2731	30377
825	2734	30374
826	2738	30370
827	2741	30367
828	2744	30363
829	2747	30359
830	2751	30355
831	2754	30351
832	2757	30348
833	2760	30344
834	2764	30339
835	2767	30336
836	2770	30333
837	2774	30329
838	2777	30326
839	2780	30323
840	2784	30320
841	2787	30317
842	2790	30314
843	2794	30311
844	2797	30308
845	2800	30304
846	2804	30301
847	2807	30297
848	2810	30293
849	2813	30289
850	2817	30285
851	2820	30281
852	2823	30277
853	2826	30273
854	2830	30269
855	2833	30266
856	2836	30262
857	2839	30253
858	2842	30249
859	2845	30246
860	2849	30243
861	2852	30239
862	2855	30235
863	2859	30231
864	2862	30227
865	2865	30223
866	2868	30220
867	2872	30217
868	2875	30213
869	2878	30211
870	2882	30207
871	2885	30203
872	2888	30199
873	2891	30195
874	2895	30191
875	2898	30188
876	2901	30184
877	2904	30181
878	2908	30177
879	2911	30174
880	2914	30170
881	2918	30167
882	2921	30163
883	2924	30159
884	2927	30155
885	2931	30152
886	2934	30148
887	2937	30144
888	2940	30140
889	2944	30137
890	2946	30128
891	2950	30124
892	2953	30120
893	2956	30117
894	2960	30113
895	2963	30110
896	2966	30106
897	2969	30102
898	2973	30099
899	2976	30095
900	2979	30091
901	2983	30088
902	2986	30084
903	2989	30081
904	2992	30077
905	2996	30074
906	2999	30070
907	3002	30066
908	3005	30062
909	3009	30059
910	3011	30050
911	3015	30046
912	3018	30046
913	3022	30042
914	3025	30039
915	3028	30035
916	3031	30031
917	3035	30028
918	3038	30025
919	3041	30022
920	3045	30019
921	3048	30015
922	3051	30011
923	3054	30007
924	3058	30003
925	3061	30000
926	3064	29996
927	3068	29993
928	3071	29989
929	3074	29985
930	3077	29982
931	3081	29977
932	3084	29973
933	3087	29969
934	3090	29965
935	3094	29962
936	3097	29958
937	3100	29954
938	3103	29950
939	3107	29947
940	3110	29943
941	3113	29940
942	3116	29936
943	3120	29933
944	3123	29929
945	3126	29925
946	3130	29922
947	3133	29918
948	3136	29915
949	3139	29911
950	3143	29908
951	3146	29904
952	3149	29900
953	3153	29897
954	3156	29894
955	3159	29891
956	3162	29887
957	3166	29884
958	3169	29881
959	3172	29871
960	3175	29868
961	3178	29865
962	3182	29861
963	3185	29858
964	3188	29854
965	3191	29851
966	3195	29848
967	3198	29844
968	3201	29840
969	3205	29837
970	3208	29833
971	3211	29829
972	3214	29826
973	3218	29823
974	3221	29819
975	3224	29815
976	3227	29811
977	3231	29808
978	3234	29804
979	3237	29800
980	3240	29796
981	3244	29792
982	3247	29787
983	3250	29784
984	3253	29779
985	3257	29775
986	3260	29770
987	3263	29767
988	3265	29751
989	3268	29747
990	3271	29744
991	3275	29740
992	3278	29735
993	3281	29731
994	3284	29727
995	3287	29724
996	3291	29720
997	3294	29717
998	3297	29714
999	3301	29711
1000	3304	29709
1001	3308	29707
1002	3311	29705
1003	3315	29703
1004	3318	29700
1005	3321	29697
1006	3325	29695
1007	3328	29692
1008	3331	29690
1009	3335	29688
1010	3338	29685
1011	3342	29683
1012	3345	29680
1013	3348	29678
1014	3352	29675
1015	3355	29673
1016	3359	29670
1017	3362	29668
1018	3365	29666
1019	3369	29664
1020	3372	29661
1021	3376	29658
1022	3379	29656
1023	3382	29654
1024	3388	29669
1025	3391	29666
1026	3395	29664
1027	3398	29662
1028	3402	29659
1029	3405	29657
1030	3408	29655
1031	3412	29652
1032	3415	29649
1033	3418	29646
1034	3422	29642
1035	3425	29639
1036	3428	29636
1037	3432	29633
1038	3435	29630
1039	3438	29626
1040	3442	29623
1041	3445	29620
1042	3448	29617
1043	3452	29614
1044	3455	29611
1045	3458	29608
1046	3462	29605
1047	3465	29601
1048	3468	29598
1049	3472	29594
1050	3475	29591
1051	3478	29588
1052	3481	29584
1053	3485	29581
1054	3488	29578
1055	3491	29574
1056	3495	29571
1057	3498	29569
1058	3502	29567
1059	3505	29564
1060	3508	29562
1061	3512	29559
1062	3515	29557
1063	3519	29554
1064	3522	29552
1065	3525	29550
1066	3529	29548
1067	3532	29546
1068	3536	29544
1069	3539	29542
1070	3543	29543
1071	3546	29540
1072	3550	29538
1073	3553	29535
1074	3557	29532
1075	3560	29530
1076	3563	29527
1077	3567	29524
1078	3570	29521
1079	3574	29518
1080	3577	29515
1081	3580	29513
1082	3584	29511
1083	3587	29509
1084	3591	29506
1085	3594	29504
1086	3597	29501
1087	3601	29498
1088	3604	29496
1089	3608	29493
1090	3611	29491
1091	3614	29489
1092	3618	29486
1093	3621	29483
1094	3625	29481
1095	3628	29479
1096	3632	29476
1097	3635	29474
1098	3638	29472
1099	3642	29469
1100	3645	29466
1101	3649	29464
1102	3652	29461
1103	3655	29458
1104	3659	29456
1105	3662	29453
1106	3666	29451
1107	3669	29448
1108	3672	29445
1109	3676	29442
1110	3679	29440
1111	3683	29437
1112	3686	29434
1113	3689	29432
1114	3693	29430
1115	3696	29427
1116	3700	29424
1117	3703	29422
1118	3706	29419
1119	3710	29417
1120	3713	29414
1121	3717	29411
1122	3720	29409
1123	3723	29406
1124	3727	29404
1125	3730	29402
1126	3734	29399
1127	3737	29397
1128	3740	29394
1129	3744	29392
1130	3747	29390
1131	3751	29387
1132	3754	29385
1133	3758	29382
1134	3761	29379
1135	3764	29377
1136	3768	29374
1137	3771	29371
1138	3775	29369
1139	3778	29365
1140	3781	29361
1141	3784	29358
1142	3788	29354
1143	3791	29350
1144	3794	29346
1145	3797	29341
1146	3801	29338
1147	3804	29334
1148	3807	29330
1149	3810	29326
1150	3814	29322
1151	3817	29318
1152	3820	29314
1153	3823	29311
1154	3827	29308
1155	3830	29306
1156	3833	29303
1157	3837	29299
1158	3840	29296
1159	3843	29293
1160	3847	29290
1161	3850	29287
1162	3853	29283
1163	3857	29280
1164	3860	29276
1165	3863	29273
1166	3867	29270
1167	3870	29267
1168	3873	29263
1169	3877	29260
